2_use_case_name,3_agency,3_abr,4_bureau,8_topic_area,8_question_type,10_commercial_ai,11_purpose_benefits,12_outputs,16_dev_stage,17_impact_type,18_date_initiated,19_date_acq_dev_began,20_date_implemented,21_date_retired,22_dev_method,23_contract_piids,24_hisp_support,25_hisp_name,26_public_service,27_public_info,28_iqa_compliance,29_contains_pii,30_saop_review,31_data_catalog,31_question_type,33_agency_data,34_data_docs,35_demo_features,35_question_type,37_custom_code,38_code_access,39_code_link,40_has_ato,41_system_name,42_dev_tools_wait,43_infra_provisioned,43_question_type,45_compute_request,45_question_type,47_timely_resources,47_question_type,49_existing_reuse,50_internal_review,51_extension_request,52_impact_assessment,53_real_world_testing,54_key_risks,55_independent_eval,56_monitor_postdeploy,57_autonomous_impact,57_question_type,59_ai_notice,59_question_type,61_adverse_impact,62_disparity_mitigation,63_stakeholder_consult,63_question_type,65_appeal_process,66_no_appeal_reason,67_opt_out,67_question_type
BirdNET to detect bird vocalizations for research and species monitoring,Department of Agriculture,USDA,FS: Forest Service,Science & Space,,None of the above.,"BirdNET quickly scans thousands of hours of forest audio recordings to detect bird calls from species that are important for forest monitoring, like spotted owls, black-backed woodpeckers, and willow flycatchers. This decreases the time and cost associated with manually listening to recordings to identify bird calls.","The model outputs text files of bird calls, which include the bird species and time that the call was recorded.",Operation and Maintenance,Neither,6/1/2021,6/1/2021,2/13/2023,,Developed in-house.,,No,,,No,,No,No,Yes,,BirdNET was developed using data from the MacAulay Library of Natural Sounds at Cornell University. Forest Service did not provide any contract or data. BirdNET is publicly available.,"Documentation is widely available: Documentation is not only complete, but is widely accessible within the agency, and has an owner and a regular update cadence.",,,No,Yes – source code is publicly available.,https://www.sciencedirect.com/science/article/pii/S1574954121000273,No,,More than 12 months,Yes,,Yes,,Yes,,None: This use case does not re-use any internally developed tooling or managed infrastructure from any other AI development efforts within the agency.,Limited documentation for review: Some information regarding the model’s performance on specific benchmarks are available or have been shared with specific stakeholders within the agency.,No – Agency did not request an extension for this use case.,,,,,,,,,,,,,,,,,
Hurricane impact descriptions,Department of Agriculture,USDA,FS: Forest Service,Mission-Enabling,,None of the above.,"The purpose of the AI model is to convert a table of data about a tropical cyclone's path and estimated impact on forests into a clear and understandable story. This is part of a rapid assessment given to stakeholders after a cyclone hits, so it needs to be done fast. We are creating a tool to automate this process and the AI helps to make better quality reports.",The model outputs a few paragraphs of easy-to-read text that explains the effects of a cyclone. ,Acquisition and/or Development,Neither,7/1/2024,7/1/2024,,,Developed in-house.,,No,,,,,,No,Yes,,"No agency owned data is used to train, fine-tune, or evaluate the performance. ","Documentation is missing or not available: No documentation exists regarding maintenance, composition, quality, or intended use of the training and evaluation data.",,,,,,No,,Less than 6 months,,,Other,Not sure,Other,No communication necessary thus far,Re-use production level code and/or data products: This use case re-uses production level code as well as data products that have been published or made widely available for data science teams for within the agency.,"No documentation is available: No documentation detailing model performance metrics, model architecture, features and intended use of the models have been created or are currently accessible to other data science teams within the agency.",No – Agency did not request an extension for this use case.,,,,,,,,,,,,,,,,,
Predictive flood modeling,Department of Agriculture,USDA,FS: Forest Service; USDOT: US Department of Transportation,Transportation,,None of the above.,The purpose of this tool is to predict water flow during floods and assesses the vulnerability of drains under roads. This will help U.S. Department of Transportation (USDOT) and USDA Forest Service to make informed decisions in drain restoration and protection against flooding.,The model outputs water flow predictions during flood events and the vulnerability level of drains under roads.,Initiated,Neither,10/1/2024,,,,,,,,,,,,No,Yes,,,,,,,,,,,,,,,,,,,,No – Agency did not request an extension for this use case.,,,,,,,,,,,,,,,,,
FuelCast,Department of Agriculture,USDA,FS: Forest Service,Emergency Management,,None of the above.,"This project predicts future fuel conditions and gives early warnings to help plan fuel management. The benefits include better preparation of the US firefighting teams for potential increases in large wildfires. This system also reduces the workload for fire behavior analysts because it provides fuel estimates, so they don't have to spend as much time figuring out fire behavior patterns through trial and error.",The model outputs predictions of the future quantity of wood and plants that could be present and contribute to wildfires. ,Operation and Maintenance,Neither,10/17/2019,10/17/2020,10/18/2020,,Developed with both contracting and in-house resources.,I have no idea what PIID is,No,,,Yes,,No,No,Yes,,,"Documentation is missing or not available: No documentation exists regarding maintenance, composition, quality, or intended use of the training and evaluation data.",,,Yes,"Yes – agency has access to source code, but it is not public.",,No,,More than 12 months,,,Other,Not sure,No,,None: This use case does not re-use any internally developed tooling or managed infrastructure from any other AI development efforts within the agency.,"No documentation is available: No documentation detailing model performance metrics, model architecture, features and intended use of the models have been created or are currently accessible to other data science teams within the agency.",No – Agency did not request an extension for this use case.,,,,,,,,,,,,,,,,,
R1 Forest Vegetation Modeling,Department of Agriculture,USDA,FS: Forest Service,Energy & the Environment,,None of the above.,The purpose of this tool is to use satellite images and methods such as LiDAR (light detection and ranging) with machine learning to model forest vegetation and make estimates. The use of machine learning improves models and estimates with decreased time and cost.,The model outputs predictions of forests and vegetation in the form of raster and vector geospatial maps. ,Initiated,Neither,1/1/2024,,,,,,,,,,,,No,Yes,,,,,,,,,,,,,,,,,,,,No – Agency did not request an extension for this use case.,,,,,,,,,,,,,,,,,
ESRI Support Chat Bot,Department of Agriculture,USDA,FS: Forest Service,Science & Space,,None of the above.,The purpose of this chatbot is to help handle requests for support with geospatial software between our team and the software vendor. The benefits include saving time when dealing with Environmental Systems Research Institute (ESRI) support issues and reducing the number of specific ESRI support tickets that need to be sent to the Forest Service Geospatial Helpdesk or to ESRI through contract support services.,"The chatbot outputs support ticket entries, code snippets for queries, and text and links for support ideas and answers.",Initiated,Neither,10/21/2024,,,,,,,,,,,,No,Yes,,,,,,,,,,,,,,,,,,,,No – Agency did not request an extension for this use case.,,,,,,,,,,,,,,,,,
Wildlife deterrent system,Department of Agriculture,USDA,FS: Forest Service; Forest Service Research & Development,Science & Space,,None of the above.,"The purpose of the AI device is to keep coyotes out of a fenced area by blocking their entry through a gap in the fence, while still allowing other wildlife to pass through. The benefits include making ecological research possible that couldn't be done otherwise, and saving time by reducing the need to watch camera footage and manually control the fence.","The model performs video object detection of a coyotes, and arms an electrical barrier to prevent passage of the coyote.",Implementation and Assessment,Neither,8/26/2021,8/26/2021,,,Developed with contracting resources.,GS-35F-0207T,No,,,No,,No,No,Yes,,The data is composed of a few thousand photographs of coyotes collected from trail cameras. Images were used by the contractor to train the system to detect coyotes.,"Documentation is missing or not available: No documentation exists regarding maintenance, composition, quality, or intended use of the training and evaluation data.",,,Yes,"Yes – agency has access to source code, but it is not public.",,No,,Less than 6 months,No,,No,,,,None: This use case does not re-use any internally developed tooling or managed infrastructure from any other AI development efforts within the agency.,"No documentation is available: No documentation detailing model performance metrics, model architecture, features and intended use of the models have been created or are currently accessible to other data science teams within the agency.",No – Agency did not request an extension for this use case.,,,,,,,,,,,,,,,,,
The Lost Meadows Model,Department of Agriculture,USDA,FS: Forest Service,Energy & the Environment,,None of the above.,"The purpose of this model is to find out where meadows used to be and how often they appeared in order to understand their original state and their potential for restoration. The discovery of these areas increases the potential for meadow restoration, which can benefit biodiversity, wildfire management, carbon storage, and water storage.","The model outputs predictions of areas with meadow-like environmental conditions. The predicted areas include a mixture of existing but undocumented meadows, non-meadow lands that may have once been meadows, and meadow-like areas that may never have been a meadow. ",Operation and Maintenance,Neither,10/10/2022,10/10/2022,7/1/2023,,Developed in-house.,,No,,,Yes,,No,No,Yes,,"The data is a collection of 11,127 publicly available meadow polygons from the Sierra Nevada MultiSource Meadow Polygons Compilation, Version 2 (UC Davis and USDA Forest Service 2017). ","Documentation is complete: Documentation exists regarding the maintenance, composition, quality, and intended use of the training and evaluation data, as well as any statistical bias across model features and protected groups. ",,,Yes,"Yes – agency has access to source code, but it is not public.",,No,,Less than 6 months,No,,No,,Other,No questions had,Re-use production level code and/or data products: This use case re-uses production level code as well as data products that have been published or made widely available for data science teams for within the agency.,"Documentation has been developed: Complete documentation detailing model performance across a range of benchmarks, architecture, relevant features and information regarding the appropriate use of the model for predictive tasks has been created.",No – Agency did not request an extension for this use case.,,,,,,,,,,,,,,,,,
Markov random fields,Department of Agriculture,USDA,FS: Forest Service,Science & Space,,None of the above.,The purpose of this tool is to improve the accuracy of estimates in machine learning models. The benefits include helping stakeholders make more informed and effective decisions for managing mixed forests.,"The model outputs predicted counts of tree species in a location, and the degree of competition between different tree species in the same location.",Acquisition and/or Development,Neither,10/1/2022,10/1/2022,,,Developed in-house.,,No,,,,,,No,Yes,,The data is comprised of ForestGEO tree count data from the Republic of Palau.,"Documentation has been partially completed: Some documentation exists (detailing the composition and any statistical bias or measurement skew for training and evaluation purposes), but documentation took place within this use case’s development.",,,,,,No,,More than 12 months,Yes,,Yes,,No,,Use of existing data platforms: This use case is being developed on existing enterprise data and analytics platforms within the agency rather than procuring additional platforms or SaaS to operate.,"No documentation is available: No documentation detailing model performance metrics, model architecture, features and intended use of the models have been created or are currently accessible to other data science teams within the agency.",No – Agency did not request an extension for this use case.,,,,,,,,,,,,,,,,,
AI for regional forest mapping and monitoring,Department of Agriculture,USDA,FS: Forest Service,Energy & the Environment,,None of the above.,The purpose of this model is to use existing satellite images and forest survey data from the USDA Forest Service to create detailed maps of forest structures. This information will help land managers be more effective and efficient with their planning.,"The model outputs GeoTiffs (raster maps of forest attributes, such as tree density and tree species data).",Operation and Maintenance,Neither,1/1/2000,1/1/2000,10/1/2002,,Developed with contracting resources.,22-JV-11261959-067 (with Oregon State University; other past JVAs as well),No,,,Yes,Mapping products are currently reviewed by for the USDA Forest Service Forest Inventory and Analysis program and the USDA Forest Service Region 6 Biometrics Program. All products are distributed with detailed accuracy assessments.,No,No,Yes,,"Forest Inventory and Analysis data collected by the USDA Forest Service (Research & Development). It contains 200,000 individual plot measurements, and hundreds of Geospatial Information System (GIS) features (climate data, satellite images, topography, etc.) stored as 30-meter raster maps (GeoTiffs).","Documentation is widely available: Documentation is not only complete, but is widely accessible within the agency, and has an owner and a regular update cadence.",,,Yes,Yes – source code is publicly available.,,No,,Less than 6 months,Other,"N/A, AI application performed by Oregon State University, not USDA Forest Service",Other,"N/A, AI application performed by Oregon State University, not USDA Forest Service",Other,"N/A, AI application performed by Oregon State University, not USDA Forest Service",Use of existing data platforms: This use case is being developed on existing enterprise data and analytics platforms within the agency rather than procuring additional platforms or SaaS to operate.,Documentation has been published: Complete documentation has been published to a repository or data catalog within the agency and is made accessible to other data science teams for review and feedback.,No – Agency did not request an extension for this use case.,,,,,,,,,,,,,,,,,
IOL Focus Group and Survey Sensemaking,Department of Agriculture,USDA,FS: Forest Service,Education & Workforce,,None of the above.,The purpose of this model is to efficiently process large quantities of focus group transcripts and survey results. Benefits include decreased labor hours manually processing transcripts and surveys.,The model outputs text summaries of focus group comments and surveys.,Initiated,Neither,6/11/2024,,,,,,,,,,,,No,Yes,,,,,,,,,,,,,,,,,,,,No – Agency did not request an extension for this use case.,,,,,,,,,,,,,,,,,
Esri ArcGIS Pro Deep Learning Modules,Department of Agriculture,USDA,FS: Forest Service,Mission-Enabling,,None of the above.,"The purpose of this tool is to enhance scientific modeling and analysis, which will standardize Geographic Information System (GIS) workflows for modeling and analytics.",The tools will output image classifications.,Operation and Maintenance,Neither,4/1/2024,4/1/2024,4/1/2024,,Developed in-house.,,No,,,No,,No,No,Yes,,The data is comprised of Natural Resource image data.,"Documentation is complete: Documentation exists regarding the maintenance, composition, quality, and intended use of the training and evaluation data, as well as any statistical bias across model features and protected groups. ",,,No,No – agency does not have access to source code.,,Yes,FS ACE,More than 12 months,Yes,,Yes,,,,Use of existing data platforms: This use case is being developed on existing enterprise data and analytics platforms within the agency rather than procuring additional platforms or SaaS to operate.,Documentation has been published: Complete documentation has been published to a repository or data catalog within the agency and is made accessible to other data science teams for review and feedback.,No – Agency did not request an extension for this use case.,,,,,,,,,,,,,,,,,
EMC Comment Parsing and Analysis,Department of Agriculture,USDA,FS: Forest Service,Government Services (includes Benefits and Service Delivery),,None of the above.,"This project aims to extract, categorize, and respond to public comments based on past responses. The benefits include creating a standardized process for handling comments, making public comment data more accessible and ready for AI use, reducing the time and cost of processing comments, minimizing human errors due to high workloads and tight deadlines, improving responsiveness to public concerns, increasing public trust, enhancing accountability through clear reporting, and supporting team training by building a database of common themes and response strategies.",The model will output text analyses of categories pulled from public comments and recommend responses based on historic responses.,Initiated,Neither,3/1/2024,,,,,,,,,,,,No,Yes,,,,,,,,,,,,,,,,,,,,No – Agency did not request an extension for this use case.,,,,,,,,,,,,,,,,,
QUIC-Fire processing and analysis,Department of Agriculture,USDA,FS: Forest Service,Science & Space,,None of the above.,AI is being used to analyze data from fire-atmosphere models to understand fire behavior and effects. The goal is to create tools that will help fire and smoke managers use the QUIC-Fire (Quick Urban & Industrial Complex-Fire) model for planning controlled burns and assessing wildfire behavior.,The AI output will be a collection of metrics that provide building blocks for a tool that fire and smoke managers will use to implement QUIC-Fire (Quick Urban & Industrial Complex - Fire) into their decision-making.,Initiated,Neither,9/25/2024,,,,,,,,,,,,No,Yes,,,,,,,,,,,,,,,,,,,,No – Agency did not request an extension for this use case.,,,,,,,,,,,,,,,,,
Analysis of prescribed fire turbulence data,Department of Agriculture,USDA,FS: Forest Service,Science & Space,,None of the above.,The purpose of this project is to find connections between the heat from a wildfire and the turbulence it creates in the air. Current tools are not very accurate and can make mistakes. This AI effort helps create better tools that can assist fire and smoke managers in making decisions about smoke management.,The model outputs correlation analysis of how temperature change is associated with air turbulence measurements above a prescribed fire.,Acquisition and/or Development,Neither,6/12/2023,7/10/2023,,,Developed in-house.,,No,,,,,,No,Yes,,The data is comprised of temperature and turbulence kinetic energy readings collected over time from 16 sonic anemometers (measure wind speed and direction) and 112 thermocouples (measures temperature). The datasets are published in the US Forest Service data archive. ,"Documentation is complete: Documentation exists regarding the maintenance, composition, quality, and intended use of the training and evaluation data, as well as any statistical bias across model features and protected groups. ",,,,,,No,,Less than 6 months,Yes,,Yes,,Yes,,Use of existing data platforms: This use case is being developed on existing enterprise data and analytics platforms within the agency rather than procuring additional platforms or SaaS to operate.,Documentation has been published: Complete documentation has been published to a repository or data catalog within the agency and is made accessible to other data science teams for review and feedback.,No – Agency did not request an extension for this use case.,,,,,,,,,,,,,,,,,
